國文,英文,數學,社會,自然
11,8,11,8,8
7,10,13,15,14
14,8,13,9,10
13,9,6,14,12
14,6,10,8,6
10,13,15,9,7
14,9,12,8,15
6,15,12,12,8
8,11,13,6,12
15,8,7,10,15
7,6,15,13,11
9,13,10,15,7
13,7,15,15,10
11,12,12,11,10
10,13,8,14,9
12,6,7,8,14
13,9,7,9,6
12,9,12,7,15
14,12,14,8,6
12,12,7,13,15
14,14,7,14,8
14,15,7,12,8
13,9,7,15,12
11,14,13,13,10
7,13,14,13,6
15,9,10,13,15
10,6,12,11,9
7,7,15,10,12
8,10,7,7,10
11,12,13,10,13
7,14,13,8,9
9,13,8,15,12
10,7,14,6,6
6,14,12,11,13
9,6,9,15,11
7,10,11,8,8
9,12,11,11,8
12,14,6,13,12
15,7,9,10,10
8,14,14,6,15
6,13,12,11,15
8,6,15,11,12
7,11,14,12,12
11,8,13,9,7
11,14,6,14,8
9,9,8,12,7
6,10,8,14,6
7,13,8,9,15
15,9,8,14,8
13,9,14,7,13
13,10,13,6,9
7,6,9,6,14
7,13,11,12,7
13,14,15,10,13
11,6,12,14,12
7,11,13,14,6
7,10,12,8,10
8,10,6,9,6
13,14,13,14,8
14,7,14,6,14
12,9,13,10,15
10,15,10,11,10
14,8,7,11,7
13,12,9,14,9
11,12,11,12,7
11,13,10,11,10
11,10,8,6,8
14,6,14,7,11
11,14,7,14,15
7,11,8,7,8
7,15,12,12,15
9,8,7,10,12
13,8,8,14,11
13,14,15,7,9
7,11,9,8,12
6,6,15,11,15
8,8,9,7,6
12,7,8,15,10
7,7,13,10,10
11,15,14,11,8
14,13,11,9,10
7,12,15,10,9
15,12,10,6,9
14,13,11,9,15
13,9,14,15,6
15,7,9,9,7
8,14,12,6,12
11,14,7,13,11
6,15,6,9,14
9,10,11,14,10
15,8,9,13,11
10,9,8,12,15
7,12,7,9,14
9,7,12,13,9
13,11,10,6,8
10,11,11,6,8
6,8,13,11,6
10,13,13,12,15
9,9,15,13,7
10,9,7,8,14
